Questions,Answers,Labels
16PF,Am afraid that I will do the wrong thing.,N
16PF,Feel threatened easily.,N
16PF,Am easily hurt.,N
16PF,Worry about things.,N
16PF,Spend time thinking about past mistakes.,N
16PF,"Feel guilty when I say ""no.""",N
16PF,Feel crushed by setbacks.,N
16PF,Don't worry about things that have already happened.,N
16PF,Am not easily bothered by things.,N
16PF,Don't let others discourage me.,N
16PF,Take charge.,E
16PF,Want to be in charge.,E
16PF,Say what I think.,E
16PF,Am not afraid of providing criticism.,E
16PF,Take control of things.,E
16PF,Can take strong measures.,E
16PF,Wait for others to lead the way.,E
16PF,Never challenge things.,E
16PF,Let others make the decisions.,E
16PF,Let myself be pushed around.,E
16PF,Believe in the importance of art.,O
16PF,Love to think up new ways of doing things.,O
16PF,Enjoy hearing new ideas.,O
16PF,Carry the conversation to a higher level.,O
16PF,Prefer variety to routine.,O
16PF,Avoid philosophical discussions.,O
16PF,Rarely look for a deeper meaning in things.,O
16PF,Am not interested in theoretical discussions.,O
16PF,Am not interested in abstract ideas.,O
16PF,Try to avoid complex people.,O
16PF,Seldom feel blue.,N
16PF,Feel comfortable with myself.,N
16PF,Readily overcome setbacks.,N
16PF,Am relaxed most of the time.,N
16PF,Am not easily frustrated.,N
16PF,Have frequent mood swings.,N
16PF,Often feel blue.,N
16PF,Dislike myself.,N
16PF,Feel desperate.,N
16PF,Am easily discouraged.,N
16PF,Feel comfortable around people.,E
16PF,Talk to a lot of different people at parties.,E
16PF,Don't mind being the center of attention.,E
16PF,Make friends easily.,E
16PF,Start conversations.,E
16PF,Find it difficult to approach others.,E
16PF,Often feel uncomfortable around others.,E
16PF,Have little to say.,E
16PF,Am quiet around strangers.,E
16PF,Keep in the background.,E
16PF,Do things that others find strange.,O
16PF,Like to get lost in thought.,O
16PF,Enjoy wild flights of fantasy.,O
16PF,Love to daydream.,O
16PF,Swim against the current.,O
16PF,Take deviant positions.,O
16PF,Do unexpected things.,O
16PF,Do things by the book.,O
16PF,Seldom daydream.,O
16PF,Seldom get lost in thought.,O
16PF,Make insightful remarks.,O
16PF,Know the answers to many questions.,O
16PF,Tend to analyze things.,O
16PF,Use my brain.,O
16PF,Learn quickly.,O
16PF,Counter others' arguments.,O
16PF,Reflect on things before acting.,O
16PF,Weigh the pros against the cons.,O
16PF,Consider myself an average person.,O
16PF,Get confused easily.,O
16PF,Know that I am not a special person.,O
16PF,Have a poor vocabulary.,O
16PF,Skip difficult words while reading.,O
16PF,Want to be left alone.,E
16PF,Prefer to do things by myself.,E
16PF,Enjoy spending time by myself.,E
16PF,Seek quiet.,E
16PF,Don't mind eating alone.,E
16PF,Enjoy silence.,E
16PF,Enjoy my privacy.,E
16PF,Enjoy being part of a group.,E
16PF,Enjoy teamwork.,E
16PF,Can't do without the company of others.,E
16PF,"Want everything to be ""just right.""",C
16PF,Get chores done right away.,C
16PF,Like order.,C
16PF,Continue until everything is perfect.,C
16PF,Am exacting in my work.,C
16PF,Am not bothered by messy people.,C
16PF,Am not bothered by disorder.,C
16PF,Leave a mess in my room.,C
16PF,Leave my belongings around.,C
16PF,Put off unpleasant tasks.,C
16PF,Reveal little about myself.,E
16PF,Am hard to get to know.,E
16PF,Don't talk a lot.,E
16PF,Bottle up my feelings.,E
16PF,Keep my thoughts to myself.,E
16PF,Am open about myself to others.,E
16PF,Am open about my feelings.,E
16PF,Disclose my intimate thoughts.,E
16PF,Show my feelings.,E
16PF,Am willing to talk about myself.,E
16PF,Like to read.,A
16PF,Enjoy discussing movies and books with others.,A
16PF,Read a lot.,A
16PF,Don't like action movies.,A
16PF,Cry during movies.,A
16PF,Love flowers.,A
16PF,Do not enjoy watching dance performances.,A
16PF,Do not like poetry.,A
16PF,Dislike works of fiction.,A
16PF,Rarely notice my emotional reactions.,A
16PF,Know how to comfort others.,A
16PF,Enjoy bringing people together.,A
16PF,Feel others' emotions.,A
16PF,Take an interest in other people's lives.,A
16PF,Cheer people up.,A
16PF,Make people feel at ease.,A
16PF,Take time out for others.,A
16PF,Don't like to get involved in other people's problems.,A
16PF,Am not really interested in others.,A
16PF,Try not to think about the needy.,A
6FPQ,Plunge into tasks with all my heart.,C
6FPQ,Excel in what I do.,C
6FPQ,Do more than what's expected of me.,C
6FPQ,Accomplish a lot of work.,C
6FPQ,Do a lot in my spare time.,C
6FPQ,Hang around doing nothing.,C
6FPQ,Need a push to get started.,C
6FPQ,Do just enough work to get by.,C
6FPQ,Find it difficult to get down to work.,C
6FPQ,Shirk my duties.,C
6FPQ,Tolerate a lot from others.,A
6FPQ,Accept people as they are.,A
6FPQ,Try to forgive and forget.,A
6FPQ,Am inclined to forgive others.,A
6FPQ,Am not disturbed by events.,A
6FPQ,Take things as they come.,A
6FPQ,Get back at others.,A
6FPQ,Am annoyed by others' mistakes.,A
6FPQ,Hold a grudge.,A
6FPQ,Am easily offended.,A
6FPQ,Have a natural talent for influencing people.,E
6FPQ,Am skilled in handling social situations.,E
6FPQ,Am good at making impromptu speeches.,E
6FPQ,Can talk others into doing things.,E
6FPQ,Express myself easily.,E
6FPQ,Keep in the background.,E
6FPQ,Lack the talent for influencing people.,E
6FPQ,Find it difficult to approach others.,E
6FPQ,Would describe my experiences as somewhat dull.,E
6FPQ,Am not good at getting people to like me.,E
6FPQ,Put work above pleasure.,C
6FPQ,Am under constant pressure.,C
6FPQ,Have too many things to do.,C
6FPQ,Complete tasks successfully.,C
6FPQ,Work hard.,C
6FPQ,Am always busy.,C
6FPQ,Feel that work is not an important part of my life.,C
6FPQ,Put little time and effort into my work.,C
6FPQ,Have extra time on my hands.,C
6FPQ,Have a slow pace to my life.,C
6FPQ,Want to increase my knowledge.,O
6FPQ,Am open to change.,O
6FPQ,Prefer variety to routine.,O
6FPQ,Am interested in many things.,O
6FPQ,Carry the conversation to a higher level.,O
6FPQ,Rarely look for a deeper meaning in things.,O
6FPQ,Am not interested in theoretical discussions.,O
6FPQ,Am not interested in abstract ideas.,O
6FPQ,Try to avoid complex people.,O
6FPQ,Prefer to stick with things that I know.,O
6FPQ,Try to lead others.,C
6FPQ,Have a strong need for power.,C
6FPQ,Like having authority over others.,C
6FPQ,Want to be in charge.,C
6FPQ,See myself as a good leader.,C
6FPQ,Find it easy to manipulate others.,C
6FPQ,Wait for others to lead the way.,C
6FPQ,Dislike taking responsibility for making decisions.,C
6FPQ,Dislike having authority over others.,C
6FPQ,Am not highly motivated to succeed.,C
6FPQ,Have an eye for detail.,C
6FPQ,Like to tidy up.,C
6FPQ,Do unpleasant tasks immediately.,C
6FPQ,Often forget to put things back in their proper place.,C
6FPQ,Get chores done right away.,C
6FPQ,Am continually losing things.,C
6FPQ,Can never find anything.,C
6FPQ,Am not bothered by messy people.,C
6FPQ,Leave a mess in my room.,C
6FPQ,Leave my belongings around.,C
7FACTOR,Feel others' emotions.,A
7FACTOR,Have a soft heart.,A
7FACTOR,Am concerned about others.,A
7FACTOR,Sympathize with others' feelings.,A
7FACTOR,Make people feel at ease.,A
7FACTOR,Take advantage of others.,A
7FACTOR,Put people under pressure.,A
7FACTOR,Insult people.,A
7FACTOR,Am not interested in other people's problems.,A
7FACTOR,Find fault with everything.,A
7FACTOR,Believe laws should be strictly enforced.,C
7FACTOR,Do things by the book.,C
7FACTOR,Try to follow the rules.,C
7FACTOR,Like order.,C
7FACTOR,Pay attention to details.,C
7FACTOR,Jump into things without thinking.,C
7FACTOR,Do things in a half-way manner.,C
7FACTOR,Do crazy things.,C
7FACTOR,Act wild and crazy.,C
7FACTOR,Break rules.,C
7FACTOR,Take things as they come.,N
7FACTOR,Seldom feel blue.,N
7FACTOR,Am not easily bothered by things.,N
7FACTOR,Am relaxed most of the time.,N
7FACTOR,Feel comfortable with myself.,N
7FACTOR,Get stressed out easily.,N
7FACTOR,Have frequent mood swings.,N
7FACTOR,Am often down in the dumps.,N
7FACTOR,Often feel blue.,N
7FACTOR,Feel desperate.,N
7FACTOR,Am open about my feelings.,E
7FACTOR,Take charge.,E
7FACTOR,Talk to a lot of different people at parties.,E
7FACTOR,Make friends easily.,E
7FACTOR,Never at a loss for words.,E
7FACTOR,Don't talk a lot.,E
7FACTOR,Keep in the background.,E
7FACTOR,Speak softly.,E
7FACTOR,Have difficulty expressing my feelings.,E
7FACTOR,Hold back my opinions.,E
7FACTOR,Have a rich vocabulary.,O
7FACTOR,Carry the conversation to a higher level.,O
7FACTOR,Use my brain.,O
7FACTOR,Quick to understand things.,O
7FACTOR,Have excellent ideas.,O
7FACTOR,Try to avoid complex people.,O
7FACTOR,Will not probe deeply into a subject.,O
7FACTOR,Avoid difficult reading material.,O
7FACTOR,Have difficulty understanding abstract ideas.,O
7FACTOR,Am not interested in abstract ideas.,O
AB5C,Am always busy.,E
AB5C,Come up with a solution right away.,E
AB5C,Try to lead others.,E
AB5C,Do a lot in my spare time.,E
AB5C,Turn plans into actions.,E
AB5C,Know what I want.,E
AB5C,Stick up for myself.,E
AB5C,Automatically take charge.,E
AB5C,Can easily push myself forward.,E
AB5C,Let myself be pushed around.,E
AB5C,Am not highly motivated to succeed.,E
AB5C,Need a lot of time to do things.,E
AB5C,Need things explained only once.,N
AB5C,Seek explanations of things.,N
AB5C,Use my brain.,N
AB5C,Excel in what I do.,N
AB5C,Meet challenges.,N
AB5C,Know how to apply my knowledge.,N
AB5C,Look at the facts.,N
AB5C,Learn quickly.,N
AB5C,Return borrowed items.,C
AB5C,Do things according to a plan.,C
AB5C,Like to plan ahead.,C
AB5C,Keep my checkbook balanced.,C
AB5C,Am careful to avoid making mistakes.,C
AB5C,Accomplish my work on time.,C
AB5C,Am often late to work.,C
AB5C,Take tasks too lightly.,C
AB5C,Leave my work undone.,C
AB5C,Put off unpleasant tasks.,C
AB5C,Often forget to put things back in their proper place.,C
AB5C,Neglect my duties.,C
AB5C,Do not plan ahead.,C
AB5C,Can easily link facts together.,O
AB5C,Like to solve complex problems.,O
AB5C,Challenge others' points of view.,O
AB5C,Ask questions that nobody else does.,O
AB5C,Know the answers to many questions.,O
AB5C,Have difficulty understanding abstract ideas.,O
AB5C,Avoid philosophical discussions.,O
AB5C,Consider myself an average person.,O
AB5C,Am not interested in speculating about things.,O
AB5C,Am not interested in theoretical discussions.,O
AB5C,Act comfortably with others.,E
AB5C,Make friends easily.,E
AB5C,Warm up quickly to others.,E
AB5C,Radiate joy.,E
AB5C,Am open about my feelings.,E
AB5C,Am a very private person.,E
AB5C,Reveal little about myself.,E
AB5C,Am hard to get to know.,E
AB5C,Avoid contacts with others.,E
AB5C,Keep others at a distance.,E
AB5C,Prefer variety to routine.,O
AB5C,Have a vivid O.,O
AB5C,Enjoy wild flights of fantasy.,O
AB5C,Need a creative outlet.,O
AB5C,Believe in the importance of art.,O
AB5C,Do not like art.,O
AB5C,Do not like poetry.,O
AB5C,Seldom daydream.,O
AB5C,Seldom get lost in thought.,O
AB5C,Do not enjoy going to art museums.,O
AB5C,Keep my emotions under control.,C
AB5C,Let others finish what they are saying.,C
AB5C,Talk even when I know I shouldn't.,C
AB5C,React intensely.,C
AB5C,Demand attention.,C
AB5C,Barge in on conversations.,C
AB5C,Blurt out whatever comes into my mind.,C
AB5C,Shoot my mouth off.,C
AB5C,Like to gossip.,C
AB5C,Often make a fuss.,C
AB5C,Am easily excited.,C
AB5C,Use difficult words.,O
AB5C,Show a mastery of language.,O
AB5C,Make insightful remarks.,O
AB5C,Have a rich vocabulary.,O
AB5C,Enjoy thinking about things.,O
AB5C,Try to understand myself.,O
AB5C,Skip difficult words while reading.,O
AB5C,Dislike learning.,O
AB5C,Am not interested in abstract ideas.,O
AB5C,Have a poor vocabulary.,O
AB5C,Will not probe deeply into a subject.,O
AB5C,Know how to captivate people.,C
AB5C,Take charge.,C
AB5C,Express myself easily.,C
AB5C,Am the first to act.,C
AB5C,Never at a loss for words.,C
AB5C,Wait for others to lead the way.,C
AB5C,Am afraid to draw attention to myself.,C
AB5C,Have little to say.,C
AB5C,Let others make the decisions.,C
AB5C,Have difficulty expressing my feelings.,C
AB5C,Like to tidy up.,C
AB5C,Do things by the book.,C
AB5C,Work according to a routine.,C
AB5C,Take good care of my belongings.,C
AB5C,See that rules are observed.,C
AB5C,Follow a schedule.,C
AB5C,Like order.,C
AB5C,Leave my belongings around.,C
AB5C,Leave a mess in my room.,C
